mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_state,param_model__n_jobs,param_model__n_estimators,param_model__base_estimator,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.22332489490509033,0.018610835075378418,0.22967469692230225,0.11203229427337646,2,-1,10,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 10, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.64,0.72,0.6799999999999999,0.03999999999999998,18,0.6994535519125684,0.7309644670050761,0.7152090094588223,0.015755457546253848,16,0.7710843373493976,0.7422680412371134,0.7566761892932555,0.0144081480561421,12,0.6382150959015485,0.6663889281715902,0.6523020120365693,0.014086916135020888,13
0.25443458557128906,0.016649484634399414,0.24288952350616455,0.06549346446990967,7,-1,15,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 7, 'model__n_jobs': -1, 'model__n_estimators': 15, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.67,0.71,0.69,0.019999999999999962,3,0.7052631578947369,0.7135678391959798,0.7094154985453583,0.004152340650621422,29,0.7444444444444445,0.7171717171717171,0.7308080808080808,0.013636363636363669,37,0.639036207421096,0.6438151591259903,0.6414256832735432,0.0023894758524471427,33
0.23935437202453613,0.04021954536437988,0.3652385473251343,0.035634398460388184,9,-1,30,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 9, 'model__n_jobs': -1, 'model__n_estimators': 30, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.7,0.675,0.024999999999999967,30,0.7027027027027027,0.7142857142857142,0.7084942084942085,0.005791505791505724,32,0.7647058823529411,0.7291666666666666,0.7469362745098038,0.017769607843137247,26,0.6401927296305323,0.6462348607194499,0.6432137951749911,0.003021065544458801,30
0.2471219301223755,0.014800190925598145,0.15674614906311035,0.00045299530029296875,4,-1,5,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 5, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.68,0.69,0.685,0.004999999999999949,6,0.7046632124352332,0.7076923076923077,0.7061777600637704,0.001514547628537255,35,0.7311827956989247,0.7263157894736842,0.7287492925863045,0.00243350311262025,39,0.6361544468372864,0.6386427535805129,0.6373986002088996,0.0012441533716132658,36
0.37282800674438477,0.003022909164428711,0.6616613864898682,0.0413365364074707,8,-1,40,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 8, 'model__n_jobs': -1, 'model__n_estimators': 40, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.71,0.6799999999999999,0.02999999999999997,18,0.7065217391304347,0.7244897959183674,0.715505767524401,0.008984028393966337,14,0.7738095238095238,0.7395833333333334,0.7566964285714286,0.017113095238095233,11,0.6458555496894038,0.6588807509061018,0.6523681502977527,0.006512600608348962,12
0.24060094356536865,0.01973092555999756,0.3894890546798706,0.026991963386535645,6,-1,30,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 30, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.71,0.6799999999999999,0.02999999999999997,18,0.7103825136612022,0.7208121827411167,0.7155973482011595,0.005214834539957247,12,0.7831325301204819,0.7319587628865979,0.75754564650354,0.025586883616942002,9,0.651605698442354,0.6537930963695673,0.6526993974059607,0.0010936989636066152,10
0.3034954071044922,0.02210545539855957,0.37587714195251465,0.014142036437988281,5,-1,20,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 20, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.69,0.675,0.014999999999999958,30,0.7135135135135134,0.711340206185567,0.7124268598495402,0.0010866536639732027,21,0.7764705882352941,0.7340425531914894,0.7552565707133918,0.021214017521902384,14,0.6534561026587667,0.6437645418517637,0.6486103222552653,0.004845780403501532,20
0.2274935245513916,0.03643941879272461,0.2674119472503662,0.04304194450378418,2,-1,1,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 1, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.64,0.72,0.6799999999999999,0.03999999999999998,18,0.6736842105263158,0.7093596059113302,0.691521908218823,0.017837697692507204,41,0.7111111111111111,0.6990291262135923,0.7050701186623517,0.006040992448759441,45,0.600136575686404,0.6369173033769102,0.618526939531657,0.01839036384525311,43
0.12217414379119873,0.001651167869567871,0.08617353439331055,0.017204761505126953,9,-1,10,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 9, 'model__n_jobs': -1, 'model__n_estimators': 10, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.69,0.675,0.014999999999999958,30,0.6984126984126984,0.711340206185567,0.7048764522991326,0.006463753886434331,36,0.7415730337078652,0.7340425531914894,0.7378077934496773,0.0037652402581879185,33,0.6313890540599242,0.6437645418517637,0.637576797955844,0.006187743895919751,35
0.27862513065338135,0.04463803768157959,0.8795229196548462,0.02960216999053955,9,-1,40,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 9, 'model__n_jobs': -1, 'model__n_estimators': 40, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.71,0.685,0.024999999999999967,6,0.7096774193548386,0.7208121827411167,0.7152448010479777,0.0055673816931390285,15,0.7674418604651163,0.7319587628865979,0.7497003116758572,0.01774154878925921,21,0.6478163478114312,0.6537930963695673,0.6508047220904992,0.0029883742790680623,15
