mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_state,param_model__n_jobs,param_model__n_estimators,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.3238344192504883,0.04009842872619629,0.022508978843688965,0.0009459257125854492,6,-1,3,"{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 3}",0.59,0.65,0.62,0.030000000000000027,17,0.6310160427807486,0.6532663316582915,0.6421411872195201,0.01112514443877144,33,0.6781609195402298,0.6565656565656566,0.6673632880529432,0.01079763148728663,31,0.5502721948549937,0.5688247660880807,0.5595484804715372,0.009276285616543534,33
0.29470157623291016,0.03668665885925293,0.032782912254333496,0.006754040718078613,1,-1,5,"{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 5}",0.6,0.65,0.625,0.025000000000000022,8,0.6349206349206349,0.680628272251309,0.657774453585972,0.022853818665337033,20,0.6741573033707865,0.7142857142857143,0.6942215088282504,0.0200642054574639,25,0.5532473520632273,0.6079143149600996,0.5805808335116635,0.02733348144843617,24
0.2697545289993286,0.012191414833068848,0.03244495391845703,0.002463102340698242,2,-1,5,"{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 5}",0.56,0.68,0.6200000000000001,0.06,16,0.6054054054054056,0.6974358974358974,0.6514206514206515,0.046015246015245925,29,0.6588235294117647,0.7157894736842105,0.6873065015479876,0.028482972136222917,26,0.5208223723764216,0.6259458798008126,0.5733841260886171,0.052561753712195514,28
0.29541587829589844,0.001413106918334961,0.12687313556671143,0.09194815158843994,3,-1,5,"{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 5}",0.61,0.66,0.635,0.025000000000000022,3,0.6421052631578946,0.6666666666666666,0.6543859649122806,0.012280701754386003,26,0.6777777777777778,0.673469387755102,0.6756235827664399,0.0021541950113379005,29,0.561236943951712,0.5860384161388774,0.5736376800452947,0.01240073609358272,27
0.2729921340942383,0.05644392967224121,0.20559191703796387,0.026700973510742188,4,-1,5,"{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 5}",0.59,0.66,0.625,0.03500000000000003,8,0.6210526315789474,0.683937823834197,0.6524952277065722,0.03144259612762479,27,0.6555555555555556,0.7096774193548387,0.6826164874551972,0.027060931899641594,27,0.5353038561285839,0.6105510195679676,0.5729274378482758,0.03762358171969188,29
0.6000769138336182,0.021174907684326172,0.07989025115966797,0.05719494819641113,5,-1,5,"{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 5}",0.63,0.64,0.635,0.0050000000000000044,3,0.6395939086294417,0.6564102564102564,0.648002082519849,0.008408173890407378,30,0.6494845360824743,0.6736842105263158,0.661584373304395,0.012099837221920762,32,0.553026441953384,0.5751583846820117,0.5640924133176979,0.011065971364313865,30
0.6413470506668091,0.16277992725372314,0.02108180522918701,0.0009819269180297852,6,-1,5,"{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 5}",0.58,0.65,0.615,0.03500000000000003,24,0.6304347826086957,0.6565656565656566,0.6435002195871762,0.01306543697848045,32,0.6904761904761905,0.6632653061224489,0.6768707482993197,0.013605442176870763,28,0.5525711331704957,0.5734917406753512,0.5630314369229235,0.010460303752427791,31
1.5934900045394897,0.09772384166717529,0.03659939765930176,4.3392181396484375e-05,1,-1,20,"{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 20}",0.58,0.65,0.615,0.03500000000000003,24,0.6408839779005524,0.6914893617021277,0.6661866698013401,0.025302691900787655,13,0.7160493827160493,0.7386363636363636,0.7273428731762065,0.011293490460157152,8,0.5687167780248741,0.623703348955667,0.5962100634902705,0.027493285465396478,12
1.4979265928268433,0.04533541202545166,0.03962993621826172,0.0009801387786865234,2,-1,20,"{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 20}",0.56,0.63,0.595,0.034999999999999976,40,0.632768361581921,0.6810810810810811,0.656924721331501,0.02415635974958008,23,0.7272727272727273,0.7411764705882353,0.7342245989304813,0.006951871657754016,4,0.5638481503496566,0.6136659835740632,0.5887570669618599,0.02490891661220329,16
1.4068717956542969,0.06515097618103027,0.03974652290344238,0.0010113716125488281,3,-1,20,"{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 20}",0.58,0.66,0.62,0.040000000000000036,17,0.6480446927374302,0.7058823529411765,0.6769635228393034,0.028918830101873183,3,0.7341772151898734,0.7586206896551724,0.746398952422523,0.012221737232649466,1,0.5799052624874405,0.6422601567252625,0.6110827096063515,0.031177447118911017,1
1.4925165176391602,0.16927671432495117,0.03704047203063965,0.001184701919555664,4,-1,20,"{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 20}",0.57,0.65,0.61,0.040000000000000036,32,0.6162162162162161,0.6878306878306878,0.652023452023452,0.03580723580723583,28,0.6705882352941176,0.7303370786516854,0.7004626569729016,0.029874421678783902,24,0.5340857454046561,0.6183654370604746,0.5762255912325653,0.04213984582790925,25
1.5480228662490845,0.131600022315979,0.04613852500915527,0.006717681884765625,5,-1,20,"{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 20}",0.62,0.6,0.61,0.010000000000000009,32,0.6631016042780749,0.6593406593406594,0.6612211318093671,0.0018804724687077057,15,0.7126436781609196,0.7317073170731707,0.7221754976170451,0.009531819456125579,15,0.5896956070851088,0.5901649039456717,0.5899302555153902,0.00023464843028142557,15
1.3964201211929321,0.044059157371520996,0.03929603099822998,5.805492401123047e-05,6,-1,20,"{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 20}",0.53,0.67,0.6000000000000001,0.07,38,0.6091954022988506,0.7015706806282723,0.6553830414635615,0.04618763916471086,25,0.7162162162162162,0.7362637362637363,0.7262399762399763,0.010023760023760042,9,0.5393590780484746,0.6337354246590738,0.5865472513537742,0.04718817330529962,20
5.505089640617371,0.13289248943328857,0.08892691135406494,0.004691958427429199,1,-1,100,"{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 100}",0.59,0.69,0.6399999999999999,0.04999999999999999,2,0.644808743169399,0.711340206185567,0.6780744746774829,0.03326573150808404,1,0.7108433734939759,0.7340425531914894,0.7224429633427326,0.011599589848756753,13,0.5712620831975201,0.6437645418517637,0.6075133125246419,0.03625122932712177,3
5.703655004501343,0.3461620807647705,0.08912968635559082,0.004752635955810547,2,-1,100,"{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 100}",0.6,0.65,0.625,0.025000000000000022,8,0.6486486486486486,0.6914893617021277,0.6700690051753881,0.02142035652673957,9,0.7058823529411765,0.7386363636363636,0.7222593582887701,0.016377005347593565,14,0.5738758644893597,0.623703348955667,0.5987896067225134,0.02491374223315368,10
5.888912081718445,0.11949217319488525,0.09207141399383545,0.005818486213684082,3,-1,100,"{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 100}",0.58,0.66,0.62,0.040000000000000036,17,0.6444444444444445,0.7096774193548386,0.6770609318996416,0.032616487455197074,2,0.725,0.7674418604651163,0.7462209302325582,0.021220930232558166,2,0.5742667879815382,0.6478163478114312,0.6110415678964847,0.03677477991494649,2
5.8547104597091675,0.3414825201034546,0.09042012691497803,0.0029081106185913086,4,-1,100,"{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 100}",0.6,0.62,0.61,0.010000000000000009,32,0.641711229946524,0.6702702702702702,0.655990750108397,0.014279520161873116,24,0.6896551724137931,0.7294117647058823,0.7095334685598378,0.019878296146044583,22,0.5634133322650321,0.6004026105458287,0.5819079714054304,0.018494639140398283,23
6.086573958396912,0.1218489408493042,0.0868680477142334,0.0008101463317871094,5,-1,100,"{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 100}",0.59,0.66,0.625,0.03500000000000003,8,0.644808743169399,0.6910994764397906,0.6679541098045948,0.02314536663519584,12,0.7108433734939759,0.7252747252747253,0.7180590493843506,0.007215675890374695,16,0.5712620831975201,0.6208248698095867,0.5960434765035534,0.024781393306033295,13
5.81965959072113,0.3298724889755249,0.08717751502990723,0.002697467803955078,6,-1,100,"{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 100}",0.59,0.65,0.62,0.030000000000000027,17,0.6555555555555554,0.6914893617021277,0.6735224586288415,0.017966903073286133,4,0.7375,0.7386363636363636,0.7380681818181818,0.000568181818181801,3,0.5878582680548993,0.623703348955667,0.6057808085052832,0.017922540450383884,4
15.646259665489197,0.8363775014877319,0.2170264720916748,0.011442422866821289,1,-1,300,"{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 300}",0.58,0.67,0.625,0.04500000000000004,8,0.6304347826086957,0.7015706806282723,0.666002731618484,0.035567949009788324,14,0.6904761904761905,0.7362637362637363,0.7133699633699634,0.022893772893772923,20,0.5525711331704957,0.6337354246590738,0.5931532789147848,0.04058214574428909,14
15.914857506752014,0.6623533964157104,0.2591615915298462,0.04437434673309326,2,-1,300,"{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 300}",0.59,0.66,0.625,0.03500000000000003,8,0.6413043478260868,0.702127659574468,0.6717160037002774,0.03041165587419059,6,0.7023809523809523,0.75,0.7261904761904762,0.023809523809523836,10,0.5658974783874825,0.6367851533020534,0.601341315844768,0.035443837457285465,7
17.21622908115387,0.4789050817489624,0.2251749038696289,0.010360956192016602,3,-1,300,"{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 300}",0.58,0.66,0.62,0.040000000000000036,17,0.6373626373626374,0.702127659574468,0.6697451484685527,0.03238251110591528,10,0.7073170731707317,0.75,0.7286585365853658,0.021341463414634165,7,0.5632525366921348,0.6367851533020534,0.6000188449970941,0.036766308304959305,9
16.920159101486206,0.23969817161560059,0.28010761737823486,0.06068551540374756,4,-1,300,"{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 300}",0.58,0.65,0.615,0.03500000000000003,24,0.6236559139784946,0.6951871657754011,0.6594215398769478,0.035765625898453224,18,0.6744186046511628,0.7471264367816092,0.710772520716386,0.0363539160652232,21,0.5422031563197088,0.6291190193152241,0.5856610878174664,0.04345793149775762,21
16.943262696266174,0.06144559383392334,0.2705693244934082,0.007950544357299805,5,-1,300,"{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 300}",0.56,0.66,0.6100000000000001,0.04999999999999999,30,0.6222222222222222,0.6947368421052631,0.6584795321637427,0.03625730994152043,19,0.7,0.7333333333333333,0.7166666666666666,0.016666666666666663,18,0.5470838278348161,0.6260696635095321,0.5865767456721741,0.03949291783735798,19
17.226562023162842,0.2514941692352295,0.24006354808807373,0.011124491691589355,6,-1,300,"{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 300}",0.59,0.66,0.625,0.03500000000000003,8,0.644808743169399,0.702127659574468,0.6734682013719335,0.028659458202534516,5,0.7108433734939759,0.75,0.7304216867469879,0.01957831325301207,6,0.5712620831975201,0.6367851533020534,0.6040236182497868,0.032761535052266644,5
25.094534516334534,0.09974753856658936,0.36670994758605957,0.007035017013549805,1,-1,500,"{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 500}",0.58,0.65,0.615,0.03500000000000003,24,0.6338797814207651,0.6878306878306878,0.6608552346257264,0.026975453204961364,16,0.6987951807228916,0.7303370786516854,0.7145661296872885,0.015770948964396903,19,0.5578714806567144,0.6183654370604746,0.5881184588585946,0.030246978201880104,17
25.1155424118042,0.009696483612060547,0.3599259853363037,0.0012240409851074219,2,-1,500,"{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 500}",0.58,0.67,0.625,0.04500000000000004,8,0.6304347826086957,0.7127659574468085,0.6716003700277521,0.041165587419056404,7,0.6904761904761905,0.7613636363636364,0.7259199134199135,0.035443722943722944,11,0.5525711331704957,0.6498669576484398,0.6012190454094677,0.04864791223897208,8
25.149884939193726,0.1854860782623291,0.3605630397796631,0.0006918907165527344,3,-1,500,"{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 500}",0.58,0.66,0.62,0.040000000000000036,17,0.6408839779005524,0.702127659574468,0.6715058187375103,0.030621840836957792,8,0.7160493827160493,0.75,0.7330246913580247,0.01697530864197533,5,0.5687167780248741,0.6367851533020534,0.6027509656634638,0.034034187638589675,6
20.92131745815277,0.24870645999908447,0.3371080160140991,0.011006951332092285,4,-1,500,"{'model__random_state': 4, 'model__n_jobs': -1, 'model__n_estimators': 500}",0.58,0.64,0.61,0.030000000000000027,32,0.6270270270270271,0.6918918918918918,0.6594594594594594,0.03243243243243238,17,0.6823529411764706,0.7529411764705882,0.7176470588235294,0.03529411764705881,17,0.5473491184328907,0.6269293566022978,0.5871392375175942,0.039790119084703535,18
19.707430720329285,0.2545274496078491,0.32277441024780273,0.003144502639770508,5,-1,500,"{'model__random_state': 5, 'model__n_jobs': -1, 'model__n_estimators': 500}",0.57,0.66,0.615,0.04500000000000004,24,0.6229508196721312,0.6910994764397906,0.6570251480559609,0.03407432838382973,22,0.6867469879518072,0.7252747252747253,0.7060108566132662,0.019263868661459016,23,0.5444808781159088,0.6208248698095867,0.5826528739627478,0.038171995846838946,22
19.504855036735535,0.012843012809753418,0.31603991985321045,0.0065621137619018555,6,-1,500,"{'model__random_state': 6, 'model__n_jobs': -1, 'model__n_estimators': 500}",0.58,0.66,0.62,0.040000000000000036,17,0.6338797814207651,0.702127659574468,0.6680037204976166,0.03412393907685146,11,0.6987951807228916,0.75,0.7243975903614458,0.025602409638554202,12,0.5578714806567144,0.6367851533020534,0.5973283169793839,0.0394568363226695,11
