ASA,ASA+,ASA-,ASAH,ASAP,Accsitecount,AliphaticAtomCount,AliphaticRingCount,AromaticAtomCount,AromaticRingCount,AtomCountC,AtomCountN,AvgPol,BalabanIndex,BondCount,CarboRingCount,CarboaliphaticRingCount,CarboaromaticRingCount,ChainAtomCount,ChiralCenterCount,CyclomaticNumber,Hacceptorcount,Hdonorcount,HeteroaliphaticRingCount,HeteroaromaticRingCount,HyperWienerIndex,LargestRingSize,LengthPerpendicularToTheMaxArea,LengthPerpendicularToTheMinArea,MaximalProjectionArea,MaximalProjectionRadius,MinimalProjectionArea,MinimalProjectionRadius,MolPol,PolarSurfaceArea,Refractivity,RingAtomCount,RotatableBondCount,SmallestRingSize,VanderWaalsSurfaceArea,VanderWaalsVolume,WienerIndex,WienerPolarity,acceptorcount,donorcount,donsitecount,frArN,frAr NH,frImine,frNH0,frNH1,frNH2,frAmidine,frDihydropyridine,frGuanido,frPiperdine,frPiperzine,frPyridine,frQuatN,maximalprojectionsize,minimalprojectionsize
326.91,177.72,149.19,177.53,149.38,0,6,0,6,1,8,1,15.12,2.36,21,1,0,1,6,0,1,0,1,0,0,496,6,5.23,10.59,50.8,5.39,27.16,3.52,14.75,27.64,51.8,6,2,6,236.68,145.09,201,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.23,10.59
240.84,197.61,43.22,142.53,98.31,0,5,0,0,0,3,2,9.74,2.19,16,0,0,0,5,0,0,0,2,0,0,35,0,5.16,8.91,33.72,4.51,19.68,2.89,9.18,55.28,45.32,0,2,0,162.05,90.86,20,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,5.16,8.91
304.55,218.15,86.4,256.14,48.41,0,3,0,6,1,8,1,14.69,1.85,21,1,0,1,3,0,1,0,1,0,0,203,6,5.96,10.13,46.76,5.03,24.96,3.37,15.43,27.64,50.58,6,2,6,217.67,130.2,94,8,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.96,10.13
185.35,120.89,64.46,69.53,115.82,2,4,0,0,0,1,3,5.94,2.32,9,0,0,0,4,0,0,2,3,0,0,12,0,3.59,6.29,25.66,3.14,15.91,3.01,5.89,77.63,26.66,0,0,0,95.68,57.06,9,0,2,3,6,0,0,0,0,0,3,0,0,1,0,0,0,0,3.59,6.29
281.41,258.43,22.98,226.65,54.76,0,8,1,0,0,6,2,14.6,2.06,24,0,0,0,3,0,1,0,2,1,0,135,5,6.39,10.25,44.29,5.03,25.85,3.23,13.98,32.08,57.79,5,2,5,235.46,131.49,67,5,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,2,6.39,10.25
304.39,239.21,65.18,283.03,21.36,0,9,0,0,0,8,1,17.19,3.75,28,0,0,0,9,0,0,0,1,0,0,173,0,6.06,9.14,45.62,4.64,31.48,3.39,16.96,27.64,53.17,0,2,0,301.19,162.42,88,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6.06,9.14
282.67,215.08,67.59,234.42,48.24,0,6,0,0,0,5,1,11.82,2.63,19,0,0,0,6,0,0,0,1,0,0,58,0,5.3,9.19,39.83,4.6,22.8,3.18,11.42,27.64,39.63,0,2,0,203.2,110.65,32,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.3,9.19
230.48,215.42,15.05,191.84,38.63,2,6,1,0,0,4,1,9.77,2.0,16,0,0,0,0,0,1,1,1,1,0,42,6,5.52,6.7,32.54,3.64,23.07,3.25,9.53,25.84,35.18,6,0,6,163.83,92.04,27,3,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,5.52,6.7
227.06,167.58,59.48,184.98,42.08,0,4,0,0,0,3,1,7.93,2.32,13,0,0,0,4,0,0,0,1,0,0,12,0,5.24,6.58,28.47,3.36,21.99,3.16,7.73,27.64,30.38,0,0,0,141.67,76.57,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.24,6.58
328.43,246.47,81.96,285.95,42.47,0,7,0,0,0,6,1,14.07,2.45,22,0,0,0,7,0,0,0,1,0,0,126,0,5.92,11.69,45.87,5.85,20.7,2.89,13.27,27.64,44.29,0,4,0,234.33,127.43,56,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.92,11.69
239.79,190.26,49.54,200.12,39.68,0,7,1,0,0,6,1,12.75,1.82,21,1,1,0,1,0,1,0,1,0,0,71,6,5.26,8.0,40.27,4.16,27.42,3.7,12.53,27.64,42.23,6,0,6,203.38,116.33,42,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.26,8.0
215.57,154.04,61.53,164.65,50.92,0,3,0,0,0,2,1,6.09,1.63,10,0,0,0,3,0,0,0,1,0,0,5,0,5.17,6.59,22.85,3.3,17.09,2.59,5.88,27.64,25.96,0,0,0,112.02,59.49,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.17,6.59
272.87,230.32,42.55,175.02,97.85,0,6,0,0,0,4,2,11.75,2.34,19,0,0,0,6,0,0,0,2,0,0,70,0,5.32,10.3,39.38,5.15,19.69,2.86,11.03,55.28,49.96,0,3,0,192.61,107.81,35,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,5.32,10.3
287.17,206.64,80.53,267.53,19.64,0,5,0,0,0,4,1,10.0,2.19,16,0,0,0,5,0,0,0,1,0,0,35,0,5.73,9.15,34.28,4.54,19.22,2.8,9.57,16.61,35.61,0,2,0,177.5,93.95,20,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,5.73,9.15
265.92,213.57,52.34,224.73,41.18,0,8,1,0,0,7,1,14.74,2.13,24,1,1,0,2,0,1,0,1,0,0,122,6,5.66,9.33,45.68,4.78,28.32,3.7,14.37,27.64,46.96,6,1,6,233.86,133.35,64,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.66,9.33
