frAmidine,frNH1,HeteroaromaticRingCount,HeteroaliphaticRingCount,CyclomaticNumber,CarboaromaticRingCount,CarboaliphaticRingCount,CarboRingCount,frImine,frGuanido,frAr NH,AromaticAtomCount,AliphaticRingCount,frNH0,frPiperdine,frPyridine,AromaticRingCount,AtomCountN,LargestRingSize,acceptorcount,RingAtomCount,Accsitecount,donorcount,Hacceptorcount,Hdonorcount,frQuatN,SmallestRingSize,frNH2,donsitecount,RotatableBondCount,AtomCountC,ChainAtomCount,PolarSurfaceArea,AliphaticAtomCount,WienerPolarity,BondCount,BalabanIndex,WienerIndex,HyperWienerIndex,MolPol,MinimalProjectionRadius,MaximalProjectionRadius,maximalprojectionsize,LengthPerpendicularToTheMaxArea,LengthPerpendicularToTheMinArea,AvgPol,minimalprojectionsize,MinimalProjectionArea,ASAP,Refractivity,ASA,VanderWaalsSurfaceArea,ASAH,ASA-,ASA+,VanderWaalsVolume,MaximalProjectionArea,_rxn_organic-inchikey,Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,Chemical Category,Canonical SMILES String,Molecular Formula
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,0,6,0,1,0,1,1,6,0,3,2,8,4,27.64,4,10,21,2.13,127,296,15.04,3.37,5.49,5.08,5.08,10.8,14.8,10.8,25.38,80.92,50.8,311.27,224.66,230.35,104.23,207.04,135.05,48.87,NOHLSFNWSBZSBW-UHFFFAOYSA-N,4-Fluoro-Phenethylammonium iodide,4FluoroPhenethylammoniumIodide,266.99,1.740239,"InChI=1S/C8H10FN.HI/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H",organic,C1(=CC=C(C=C1)F)CC[NH3+].[I-],C8H11FIN
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,4,5,7,9,32.08,9,8,28,3.09,104,242,16.56,4.32,5.42,6.0,6.0,10.69,17.53,10.69,34.16,54.74,64.61,359.43,294.02,304.69,73.58,285.85,160.34,55.8,NXRUEVJQMBGVAT-UHFFFAOYSA-N,"N,N-Diethylpropane-1,3-diammonium iodide",NNDiethylpropane13diammoniumiodide,386.06,1.848218,"InChI=1S/C7H18N2.2HI/c1-3-9(4-2)7-5-6-8;;/h3-8H2,1-2H3;2*1H",organic,CC[NH+](CC)CCC[NH3+].[I-].[I-],C7H20I2N2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,2,6,7,16.61,7,4,22,2.95,48,91,13.27,3.37,4.49,6.12,6.12,8.46,13.62,8.46,28.74,13.65,44.44,302.2,236.93,288.54,71.4,230.8,128.14,41.21,PBGZCCFVBVEIAS-UHFFFAOYSA-N,Di-isopropylammonium iodide,Diisopropylammoniumiodide,229.10,1.454266,"InChI=1S/C6H15N.HI/c1-5(2)7-6(3)4;/h5-7H,1-4H3;1H",organic,CC(C)[NH2+]C(C)C.[I-],C6H16IN
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,0,6,0,1,0,1,1,6,0,3,1,7,2,27.64,2,7,18,2.13,64,122,13.66,3.52,4.68,5.0,5.0,9.2,12.63,9.2,24.65,45.88,45.82,272.92,186.95,227.04,76.01,196.91,113.17,42.12,PPCHYMCMRUGLHR-UHFFFAOYSA-N,Benzylammonium Iodide,BenzylammoniumIodide,235.07,1.745993,"InChI=1S/C7H9N.HI/c8-6-7-4-2-1-3-5-7;/h1-5H,6,8H2;1H",organic,C1=CC=C(C=C1)C[NH3+].[I-],C7H10IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,10,12,13,27.64,13,10,40,2.76,364,1365,24.35,4.07,9.65,7.19,7.19,19.06,26.67,19.06,32.95,42.78,71.89,524.51,417.97,481.73,125.78,398.73,229.29,80.65,PXWSKGXEHZHFJA-UHFFFAOYSA-N,n-Dodecylammonium iodide,nDodecylammoniumIodide,313.26,1.128466,"InChI=1S/C12H27N.HI/c1-2-3-4-5-6-7-8-9-10-11-12-13;/h2-13H2,1H3;1H",organic,[I-].CCCCCCCCCCCC[NH3+],C12H28IN
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,1,2,1,0,0,4,0,1,3,51.49,3,0,7,1.63,4,5,4.77,2.41,3.09,3.88,3.88,5.69,4.78,5.69,13.66,143.13,33.86,176.28,78.34,33.15,29.36,146.92,47.38,19.81,QHJPGANWSLEMTI-UHFFFAOYSA-N,Formamidinium Iodide,FormamidiniumIodide,171.97,2.423927,"InChI=1S/CH4N2.HI/c2-1-3;/h1H,(H3,2,3);1H",organic,C(=N)[NH3+].[I-],CH5IN2
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,1,6,2,1,1,1,1,6,0,3,1,7,3,36.87,3,9,19,1.94,90,187,14.28,3.45,5.09,5.59,5.59,10.11,13.7,10.11,24.08,70.65,47.45,312.97,204.29,242.32,68.26,244.72,122.32,45.96,QRFXELVDJSDWHX-UHFFFAOYSA-N,4-Methoxy-Phenylammonium iodide,4MethoxyPhenylammoniumIodide,251.07,1.771191,"InChI=1S/C7H9NO.HI/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H",organic,C1(=CC=C(C=C1)OC)[NH3+].[I-],C7H10INO
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,2,6,0,6,0,2,0,2,2,6,0,6,0,6,2,55.28,2,7,18,2.19,62,115,13.2,3.5,4.46,4.31,4.31,8.86,12.61,8.86,22.02,103.52,55.92,256.81,176.15,153.29,0.0,256.81,110.43,42.74,RYYSZNVPBLKLRS-UHFFFAOYSA-N,"1,4-Benzene diammonium iodide",Benzenediaminedihydroiodide,363.97,2.340659,"nChI=1S/C6H8N2.2HI/c7-5-1-2-6(8)4-3-5;;/h1-4H,7-8H2;2*1H",organic,C1=CC(=CC=C1[NH3+])[NH3+].[I-].[I-],C6H10I2N2
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,0,6,0,1,0,1,1,6,0,3,2,8,6,27.64,6,15,21,2.36,201,496,14.75,3.52,5.39,5.23,5.23,10.59,15.12,10.59,27.16,149.38,51.8,326.91,236.68,177.53,149.19,177.72,145.09,50.8,SQXJHWOXNLTOOO-UHFFFAOYSA-N,4-Trifluoromethyl-Benzylammonium iodide,4TrifluoromethylBenzylammoniumIodide,303.07,1.938294,"InChI=1S/C8H8F3N.HI/c9-8(10,11)7-3-1-6(5-12)2-4-7;/h1-4H,5,12H2;1H",organic,C1(=CC=C(C=C1)C(F)(F)F)C[NH3+].[I-],C8H9F3IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,6,2,3,5,55.28,5,2,16,2.19,20,35,9.18,2.89,4.51,5.16,5.16,8.91,9.74,8.91,19.68,98.31,45.32,240.84,162.05,142.53,43.22,197.61,90.86,33.72,UMDDLGMCNFAZDX-UHFFFAOYSA-O,"Propane-1,3-diammonium iodide",Propane13diammoniumIodide,329.95,2.10244,InChI=1S/C3H10N2.HI/c4-2-1-3-5;/h1-5H2;1H/p+1,organic,[NH3+]CCC[NH3+].[I-].[I-],C3H12IN2
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,0,6,0,1,0,1,1,6,0,3,2,8,3,27.64,3,8,21,1.85,94,203,15.43,3.37,5.03,5.96,5.96,10.13,14.69,10.13,24.96,48.41,50.58,304.55,217.67,256.14,86.4,218.15,130.2,46.76,UPHCENSIMPJEIS-UHFFFAOYSA-N,Phenethylammonium iodide ,PhEtNH3I,249.10,1.630204,"InChI=1S/C8H11N.HI/c9-7-6-8-4-2-1-3-5-8;/h1-5H,6-7,9H2;1H",organic,C1=CC=C(C=C1)CC[NH3+].[I-],C8H12IN
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,2,3,2,3,0,0,3,6,0,1,4,77.63,4,0,9,2.32,9,12,5.89,3.01,3.14,3.59,3.59,6.29,5.94,6.29,15.91,115.82,26.66,185.35,95.68,69.53,64.46,120.89,57.06,25.66,UUDRLGYROXTISK-UHFFFAOYSA-N,Guanidinium iodide,GnNH3I,186.98,2.359388,"InChI=1S/CH5N3.HI/c2-1(3)4;/h(H5,2,3,4);1H",organic,C(=[NH2+])(N)N.[I-],CH6IN3
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,5,0,2,0,2,2,5,0,4,2,6,3,32.08,8,5,24,2.06,67,135,13.98,3.23,5.03,6.39,6.39,10.25,14.6,10.25,25.85,54.76,57.79,281.41,235.46,226.65,22.98,258.43,131.49,44.29,UVLZLKCGKYLKOR-UHFFFAOYSA-N,2-Pyrrolidin-1-ium-1-ylethylammonium iodide,2Pyrrolidin1ium1ylethylammoniumiodide,370.02,2.078859,InChI=1S/C6H14N2.2HI/c7-3-6-8-4-1-2-5-8;;/h1-7H2;2*1H,organic,C1CC[NH+](C1)CC[NH3+].[I-].[I-],C6H16I2N2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,2,8,9,27.64,9,6,28,3.75,88,173,16.96,3.39,4.64,6.06,6.06,9.14,17.19,9.14,31.48,21.36,53.17,304.39,301.19,283.03,65.18,239.21,162.42,45.62,UXYJHTKQEFCXBJ-UHFFFAOYSA-N,tert-Octylammonium iodide,TertOctylammoniumIodide,257.16,1.304114,"InChI=1S/C8H19N.HI/c1-7(2,3)6-8(4,5)9;/h6,9H2,1-5H3;1H",organic,C(CC(C)(C)[NH3+])(C)(C)C.[I-],C8H20IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,2,5,6,27.64,6,3,19,2.63,32,58,11.42,3.18,4.6,5.3,5.3,9.19,11.82,9.19,22.8,48.24,39.63,282.67,203.2,234.42,67.59,215.08,110.65,39.83,UZHWWTHDRVLCJU-UHFFFAOYSA-N,iso-Pentylammonium iodide,IPentylammoniumIodide,215.02,1.55959,"InChI=1S/C5H13N.HI/c1-5(2)3-4-6;/h5H,3-4,6H2,1-2H3;1H",organic,CC(CC[NH3+])C.[I-],C5H14IN
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,6,2,1,1,1,1,6,1,2,0,4,0,25.84,6,3,16,2.0,27,42,9.53,3.25,3.64,5.52,5.52,6.7,9.77,6.7,23.07,38.63,35.18,230.48,163.83,191.84,15.05,215.42,92.04,32.54,VAWHFUNJDMQUSB-UHFFFAOYSA-N,Morpholinium Iodide,MorpholiniumIodide,215.03,1.896504,"InChI=1S/C4H9NO.HI/c1-3-6-4-2-5-1;/h5H,1-4H2;1H",organic,C1COCC[NH2+]1.[I-],C4H10INO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,0,3,4,27.64,4,0,13,2.32,9,12,7.73,3.16,3.36,5.24,5.24,6.58,7.93,6.58,21.99,42.08,30.38,227.06,141.67,184.98,59.48,167.58,76.57,28.47,VMLAEGAAHIIWJX-UHFFFAOYSA-N,i-Propylammonium iodide,iPropylammoniumIodide,187.02,1.841935,"InChI=1S/C3H9N.HI/c1-3(2)4;/h3H,4H2,1-2H3;1H",organic,CC(C)[NH3+].[I-],C3H10IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,4,6,7,27.64,7,4,22,2.45,56,126,13.27,2.89,5.85,5.92,5.92,11.69,14.07,11.69,20.7,42.47,44.29,328.43,234.33,285.95,81.96,246.47,127.43,45.87,VNAAUNTYIONOHR-UHFFFAOYSA-N,n-Hexylammonium iodide,nHexylammoniumIodide,229.11,1.464001,"InChI=1S/C6H15N.HI/c1-2-3-4-5-6-7;/h2-7H2,1H3;1H",organic,CCCCCC[NH3+].[I-],C6H16IN
