,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
4FluoroPhenyl,0.0,0.0,0.023255813953488372,0.1440677966101695,0.0,0.0,0.0,0.02040816326530612,0.0,0.4262295081967213,0.0,0.0,0.03076923076923077,0.0,0.2028985507246377,0.0,0.4039408866995074,1.0,0.6666666666666666,0.05,0.1461187214611872,0.3696682464454976,0.0,0.019230769230769232,0.0,0.20125786163522014,0.018018018018018018
Phenyl,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.03333333333333333,0.0,0.5241379310344828,0.0,0.0,0.043478260869565216,0.0,0.26,0.0,0.18181818181818182,0.6666666666666666,1.0,0.024390243902439025,0.16574585635359115,0.4393063583815029,0.0,0.030303030303030304,0.0,0.24793388429752067,0.0273972602739726
NNDiethylpropane13di,0.3125,0.3448275862068966,0.07407407407407407,0.06862745098039216,0.3333333333333333,0.42857142857142855,0.4307692307692308,0.30303030303030304,0.3448275862068966,0.026490066225165563,0.3548387096774194,0.37037037037037035,0.20408163265306123,0.3448275862068966,0.03773584905660377,0.08695652173913043,0.08187134502923976,0.05,0.024390243902439025,1.0,0.053475935828877004,0.055865921787709494,0.24489795918367346,0.2777777777777778,0.08,0.09448818897637795,0.10126582278481013
4TrifluoromethylBenzyl,0.03680981595092025,0.03821656050955414,0.026143790849673203,0.33003300330033003,0.0392156862745098,0.03870967741935484,0.036585365853658534,0.048484848484848485,0.03821656050955414,0.168,0.037267080745341616,0.0392156862745098,0.06091370558375635,0.03821656050955414,0.6048780487804878,0.027586206896551724,0.34074074074074073,0.1461187214611872,0.16574585635359115,0.053475935828877004,1.0,0.6906474820143885,0.04060913705583756,0.04678362573099415,0.026845637583892617,0.39823008849557523,0.033707865168539325
4TrifluoromethylPhenyl,0.012903225806451613,0.013422818791946308,0.013793103448275862,0.2983050847457627,0.013793103448275862,0.027210884353741496,0.02564102564102564,0.025477707006369428,0.013422818791946308,0.35537190082644626,0.013071895424836602,0.013793103448275862,0.05291005291005291,0.013422818791946308,0.39593908629441626,0.014598540145985401,0.32061068702290074,0.3696682464454976,0.4393063583815029,0.055865921787709494,0.6906474820143885,1.0,0.021164021164021163,0.024539877300613498,0.014184397163120567,0.3669724770642202,0.03529411764705882
TertOctyl,0.5405405405405406,0.4117647058823529,0.0625,0.07476635514018691,0.3125,0.21212121212121213,0.26666666666666666,0.42105263157894735,0.35294117647058826,0.0,0.3888888888888889,0.3125,0.4074074074074074,0.4117647058823529,0.034482758620689655,0.07142857142857142,0.08839779005524862,0.0,0.0,0.24489795918367346,0.04060913705583756,0.021164021164021163,1.0,0.3902439024390244,0.06666666666666667,0.10218978102189781,0.0449438202247191
nDodecyl,0.5833333333333334,0.6666666666666666,0.10526315789473684,0.06382978723404255,0.42105263157894735,0.3,0.32653061224489793,0.88,0.47619047619047616,0.014814814814814815,0.43478260869565216,0.5263157894736842,0.6341463414634146,0.38095238095238093,0.044444444444444446,0.13333333333333333,0.09032258064516129,0.019230769230769232,0.030303030303030304,0.2777777777777778,0.04678362573099415,0.024539877300613498,0.3902439024390244,1.0,0.11764705882352941,0.10810810810810811,0.06349206349206349
FormamidiniumIodide,0.15384615384615385,0.2,0.75,0.024096385542168676,0.25,0.2222222222222222,0.14814814814814814,0.14285714285714285,0.2,0.0,0.16666666666666666,0.25,0.06666666666666667,0.2,0.058823529411764705,0.5,0.03007518796992481,0.0,0.0,0.08,0.026845637583892617,0.014184397163120567,0.06666666666666667,0.11764705882352941,1.0,0.0449438202247191,0.2926829268292683
PhEtNH3I,0.11650485436893204,0.12371134020618557,0.043010752688172046,0.6831275720164609,0.12903225806451613,0.12631578947368421,0.11538461538461539,0.11428571428571428,0.12371134020618557,0.17894736842105263,0.1188118811881188,0.12903225806451613,0.10218978102189781,0.12371134020618557,0.5793103448275863,0.047058823529411764,0.7904761904761904,0.20125786163522014,0.24793388429752067,0.09448818897637795,0.39823008849557523,0.3669724770642202,0.10218978102189781,0.10810810810810811,0.0449438202247191,1.0,0.03389830508474576
ImidazoliumIodide,0.07272727272727272,0.08163265306122448,0.3111111111111111,0.03076923076923077,0.08888888888888889,0.1702127659574468,0.17857142857142858,0.07017543859649122,0.08163265306122448,0.028169014084507043,0.07547169811320754,0.08888888888888889,0.06741573033707865,0.08163265306122448,0.041237113402061855,0.10810810810810811,0.037037037037037035,0.018018018018018018,0.0273972602739726,0.10126582278481013,0.033707865168539325,0.03529411764705882,0.0449438202247191,0.06349206349206349,0.2926829268292683,0.03389830508474576,1.0
